transaction_id,tx_date,description,amount,revenue,expenses,tx_type,category,payment_method,department,city,status
TX201,2026-03-01,Product Sale,850,850,300,Sale,Retail,Cash,Sales,Gjilan,Completed
TX202,2026-03-02,Online Order,12500,12500,4200,Sale,Ecommerce,Card,Sales,Prishtina,Completed
TX203,2026-03-03,Equipment Purchase,18500,4200,18500,Expense,Equipment,Bank Transfer,Operations,Prizren,Completed
TX204,2026-03-04,Consulting Service,7600,7600,1800,Sale,Services,Bank Transfer,Consulting,Ferizaj,Completed
TX205,2026-03-05,Marketing Campaign,3200,9800,3200,Expense,Marketing,Card,Marketing,Prishtina,Completed
TX206,2026-03-06,Product Sale,14500,14500,6100,Sale,Retail,Cash,Sales,Gjilan,Completed
TX207,2026-03-07,Office Rent,6800,7200,6800,Expense,Rent,Bank Transfer,Administration,Prishtina,Completed
TX208,2026-03-08,Online Order,2200,2200,850,Sale,Ecommerce,Card,Sales,Prizren,Completed
TX209,2026-03-09,Service Payment,19800,19800,7200,Sale,Services,Bank Transfer,Sales,Ferizaj,Completed
TX210,2026-03-10,Transport Cost,4100,5400,4100,Expense,Transport,Cash,Operations,Gjilan,Completed
TX211,2026-03-11,Product Sale,6300,6300,2100,Sale,Retail,Card,Sales,Prishtina,Completed
TX212,2026-03-12,Software Subscription,1200,6800,1200,Expense,Software,Card,IT,Prizren,Completed
TX213,2026-03-13,Online Order,17500,17500,6900,Sale,Ecommerce,Card,Sales,Gjilan,Completed
TX214,2026-03-14,Marketing Campaign,8900,11000,8900,Expense,Marketing,Bank Transfer,Marketing,Prishtina,Completed
TX215,2026-03-15,Consulting Service,4200,4200,1300,Sale,Services,Cash,Consulting,Ferizaj,Completed
TX216,2026-03-16,Equipment Purchase,27500,5100,27500,Expense,Equipment,Bank Transfer,Operations,Prizren,Completed
TX217,2026-03-17,Product Sale,11200,11200,4300,Sale,Retail,Cash,Sales,Gjilan,Completed
TX218,2026-03-18,Online Order,3900,3900,1500,Sale,Ecommerce,Card,Sales,Prishtina,Completed
TX219,2026-03-19,Service Payment,24500,24500,9400,Sale,Services,Bank Transfer,Sales,Prizren,Completed
TX220,2026-03-20,Office Supplies,2300,4100,2300,Expense,Office,Cash,Administration,Ferizaj,Completed
TX221,2026-03-21,Product Sale,5200,5200,1900,Sale,Retail,Card,Sales,Gjilan,Completed
TX222,2026-03-22,Marketing Campaign,15600,18200,15600,Expense,Marketing,Bank Transfer,Marketing,Prishtina,Completed
