Date,Transaction_ID,Description,Amount,Revenue,Expenses,Profit,Transaction_Type,Category,Payment_Method,Department,City,Status,Upload_File_ID,Imported_At
2026-01-01,T001,Software Sale,4500.0,4500.0,0.0,4500.0,Income,Sales,Bank Transfer,Sales,Prishtina,Completed,5,2026-08-19 14:34:49
2026-01-01,T001,Software Sale,4500.0,4500.0,0.0,4500.0,Income,Sales,Bank Transfer,Sales,Prishtina,Completed,6,2026-08-19 15:48:39
2026-01-02,T002,Office Rent,1800.0,0.0,1800.0,-1800.0,Expense,Rent,Bank Transfer,Administration,Prishtina,Completed,5,2026-08-19 14:34:49
2026-01-02,T002,Office Rent,1800.0,0.0,1800.0,-1800.0,Expense,Rent,Bank Transfer,Administration,Prishtina,Completed,6,2026-08-19 15:48:39
2026-01-03,T003,Cloud Services,650.0,0.0,650.0,-650.0,Expense,Technology,Credit Card,IT,Prishtina,Completed,5,2026-08-19 14:34:49
2026-01-03,T003,Cloud Services,650.0,0.0,650.0,-650.0,Expense,Technology,Credit Card,IT,Prishtina,Completed,6,2026-08-19 15:48:39
2026-01-04,T004,Client Payment,7200.0,7200.0,0.0,7200.0,Income,Services,Bank Transfer,Sales,Gjilan,Completed,5,2026-08-19 14:34:49
2026-01-04,T004,Client Payment,7200.0,7200.0,0.0,7200.0,Income,Services,Bank Transfer,Sales,Gjilan,Completed,6,2026-08-19 15:48:39
2026-01-05,T005,Employee Salary,3200.0,0.0,3200.0,-3200.0,Expense,Salary,Bank Transfer,HR,Prishtina,Completed,5,2026-08-19 14:34:49
2026-01-05,T005,Employee Salary,3200.0,0.0,3200.0,-3200.0,Expense,Salary,Bank Transfer,HR,Prishtina,Completed,6,2026-08-19 15:48:39
2026-01-06,T006,Google Ads,800.0,0.0,800.0,-800.0,Expense,Marketing,Credit Card,Marketing,Prishtina,Completed,5,2026-08-19 14:34:49
2026-01-06,T006,Google Ads,800.0,0.0,800.0,-800.0,Expense,Marketing,Credit Card,Marketing,Prishtina,Completed,6,2026-08-19 15:48:39
2026-01-07,T007,Software License,5300.0,5300.0,0.0,5300.0,Income,Sales,Bank Transfer,Sales,Prizren,Completed,5,2026-08-19 14:34:49
2026-01-07,T007,Software License,5300.0,5300.0,0.0,5300.0,Income,Sales,Bank Transfer,Sales,Prizren,Completed,6,2026-08-19 15:48:39
2026-01-08,T008,Internet Bill,180.0,0.0,180.0,-180.0,Expense,Utilities,Bank Transfer,IT,Gjilan,Completed,5,2026-08-19 14:34:49
2026-01-08,T008,Internet Bill,180.0,0.0,180.0,-180.0,Expense,Utilities,Bank Transfer,IT,Gjilan,Completed,6,2026-08-19 15:48:39
2026-01-09,T009,Consulting Revenue,6100.0,6100.0,0.0,6100.0,Income,Services,Bank Transfer,Sales,Ferizaj,Completed,5,2026-08-19 14:34:49
